world_rank,university_name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,year
186,University of Konstanz,Germany,42.7,93.6,40.1,51.3,-,47.3,"10,930",59.1,12%,54 : 46,2011
187,Karlsruhe Institute of Technology,Germany,45.0,47.3,35.4,60.7,40.0,47.2,"25,294",24.6,16%,26 : 74,2011
187,University of Innsbruck,Austria,37.9,99.5,34.8,60.2,35.0,47.2,"18,209",16.9,39%,54 : 46,2011
189,University of Tübingen,Germany,45.9,57.8,36.3,57.3,32.3,47.0,"28,327",38.9,12%,58 : 42,2011
190,Drexel University,United States of America,45.0,60.6,35.9,58.2,27.4,46.9,"20,713",10.8,18%,48 : 52,2011
190,University of Cincinnati,United States of America,43.6,18.9,40.4,61.5,32.5,46.9,"36,108",15.7,6%,54 : 46,2011
190,Yonsei University,South Korea,43.0,28.0,48.7,52.2,40.4,46.9,"24,774",11.6,14%,,2011
193,Dalhousie University,Canada,41.6,44.9,50.2,48.8,-,46.8,"15,064",14.4,18%,55 : 45,2011
193,KTH Royal Institute of Technology,Sweden,49.1,64.2,56.2,29.2,100.0,46.8,"12,062",14.6,21%,30 : 70,2011
195,University of Vienna,Austria,47.6,63.2,45.7,45.6,27.0,46.7,"34,651",20.5,25%,67 : 33,2011
196,Kent State University,United States of America,33.5,15.9,33.3,76.8,26.3,46.5,"23,122",19,8%,58 : 42,2011
197,University of Illinois at Chicago,United States of America,57.8,51.8,46.8,34.7,-,46.4,"24,313",9.2,17%,53 : 47,2011
197,Zhejiang University,China,54.6,29.6,41.3,44.3,70.3,46.4,"47,508",15.9,5%,41 : 59,2011
199,Simon Fraser University,Canada,32.9,51.9,44.2,60.2,37.9,46.2,"26,640",28.3,19%,55 : 45,2011
199,Swedish University of Agricultural Sciences,Sweden,43.3,-,49.5,41.7,99.9,46.2,"3,879",4.6,,67 : 33,2011
